PM10,PM2.5,SO2,CO,O3,NO2,Status
25,51,,8,,3,1
25,51,,8,,3,1
24,50,,8,,3,1
24,50,,8,,3,1
24,50,,8,,3,1
24,49,,8,,3,1
23,48,,8,,3,1
23,48,,7,,3,1
23,47,,7,,2,1
22,46,,6,,3,1
22,45,,6,,3,1
21,44,,6,,3,1
20,43,,5,,3,1
20,42,,5,,3,1
20,42,,5,,3,1
20,41,,5,,3,1
19,40,,5,,3,1
18,39,,5,,3,1
18,38,,5,,3,1
17,37,,5,,3,1
17,36,,4,,3,1
17,35,,4,,3,1
16,35,,5,,3,1
16,35,,5,,3,1
