PM10,PM2.5,SO2,CO,O3,NO2
14,30,,1,,3
14,30,,1,,3
15,31,,1,,3
15,31,,2,,3
15,32,,2,,3
16,33,,2,,3
16,33,,2,,3
16,34,,2,,3
17,34,,3,,3
17,36,,3,,3
18,38,,4,,3
19,40,,4,,3
20,40,,4,,3
20,40,,4,,3
20,41,,4,,4
20,41,,4,,4
20,41,,4,,3
21,42,,4,,3
21,42,,4,,3
21,43,,4,,3
21,43,,4,,3
21,43,,4,,3
21,43,,4,,3
20,40,,4,,3
