pm10,so2,co,o3,no2
31,7,8,41,5
23,7,9,35,6
47,7,16,45,8
45,7,10,44,8
41,7,11,44,6
54,7,16,41,8
46,7,30,45,8
51,8,17,48,8
64,7,24,45,10
43,8,19,32,9
44,8,20,35,9
34,7,11,34,5
37,8,9,35,7
32,8,7,35,9
33,7,11,37,9
51,7,16,39,10
86,14,26,81,11
41,7,10,44,7
73,10,50,92,15
53,8,13,35,6
34,7,11,30,8
62,10,15,44,7
39,8,12,26,8
55,10,21,25,7
30,7,24,28,8
58,12,30,75,7
48,11,10,83,7
43,13,24,43,8
52,8,19,67,6
34,7,9,40,7
53,7,15,35,7
