p,pm
388.12,274.59
443.78,292.14
440.4,297.39
362.31,266.01
265.14,189.65
305.77,205.87
326.73,243.88
310.45,252.26
310.18,242.09
372.09,297.31
363.32,287.66
369.64,263.24
430.76,285.17
394.89,274.04
370.77,239.47
399.54,256.46
427.11,276.92
299.54,186.57
347.17,195.14
276.99,157.56
229.16,144.7
241.84,169.55
220.43,150.31
200.5,137.31
219.6,159.74
218.14,131.88
289.35,214.01
278.26,219.56
333.07,223.26
402.5,257.84
413.14,258.53
486.78,304.72
380.09,257.9
355.4,221.62
311.39,184.89
355.6,217.65
283.7,177.89
276.47,161.52
167.5,102.66
194.83,117.4
241.96,144.66
215.5,168.34
175.79,144.19
94.16,150.56
325.1,178.31
354.03,208.85
326.63,112.45
167.81,30.59
135.83,114.27
209.45,134.82
187.12,119.49
157.33,105.47
163.7,74.47
253.63,94.27
201.43,180
188.17,108.86
151.96,85.74
