PM10,PM2.5,SO2,CO,O3,NO2,Status
19,40,,7,,3,1
20,40,,7,,3,1
20,41,,7,,3,1
21,42,,7,,3,1
21,44,,7,,3,1
22,45,,7,,3,1
22,46,,7,,3,1
23,46,,6,,3,1
23,47,,6,,3,1
24,49,,6,,3,1
24,50,,6,,4,1
24,50,,6,,3,1
24,50,,6,,3,1
24,50,,6,,3,1
24,50,,6,,3,1
24,50,,5,,3,1
24,50,,5,,3,1
24,50,,4,,3,1
25,51,,4,,3,1
26,51,,4,,3,1
26,52,,4,,3,1
27,52,,4,,2,1
28,53,,4,,2,1
28,53,,4,,2,1
