PM10,PM2.5,SO2,CO,O3,NO2
18,36,,5,,3
17,35,,5,,3
17,34,,5,,3
16,33,,5,,3
16,33,,5,,3
16,32,,5,,3
15,31,,5,,3
15,31,,5,,3
15,30,,5,,3
14,30,,5,,2
14,29,,5,,2
14,29,,4,,3
14,29,,4,,3
14,29,,3,,3
14,29,,3,,3
14,29,,3,,3
14,28,,2,,3
13,28,,2,,3
13,27,,2,,3
13,27,,1,,3
13,27,,1,,3
13,27,,1,,3
14,28,,1,,3
14,29,,1,,3
