PM10,PM2.5,SO2,CO,O3,NO2,Status
8,18,,5,,2,1
8,18,,5,,2,1
8,18,,5,,2,1
8,18,,5,,2,1
8,18,,5,,2,1
8,18,,5,,2,1
8,18,,5,,2,1
8,18,,4,,2,1
7,17,,4,,2,1
7,16,,4,,2,1
7,16,,4,,2,1
7,15,,4,,2,1
6,15,,4,,2,1
6,14,,4,,2,1
6,14,,5,,2,1
6,15,,5,,2,1
6,15,,5,,2,1
6,15,,5,,2,1
6,14,,5,,2,1
6,14,,5,,2,1
6,14,,5,,2,1
6,14,,5,,2,1
6,14,,5,,2,1
6,14,,5,,2,1
