PM10,PM2.5,SO2,CO,O3,NO2
20,39,,2,,3
20,39,,2,,3
20,39,,2,,3
20,39,,2,,3
20,39,,2,,3
20,39,,2,,3
20,39,,1,,3
19,39,,1,,3
20,39,,1,,3
20,40,,1,,3
19,39,,1,,3
19,39,,1,,3
19,38,,2,,3
19,38,,2,,3
19,38,,3,,3
19,38,,3,,3
19,38,,3,,3
19,38,,4,,3
19,38,,4,,3
19,38,,4,,3
19,37,,5,,3
18,36,,5,,3
17,35,,5,,3
18,35,,5,,3
