PM10,PM2.5,SO2,CO,O3,NO2,Status
18,38,,4,,3,1
18,38,,4,,3,1
18,37,,3,,3,1
17,37,,3,,3,1
17,36,,3,,3,1
17,35,,3,,3,1
16,35,,3,,3,1
16,34,,3,,3,1
16,33,,2,,2,1
15,32,,2,,3,1
15,32,,2,,3,1
14,31,,2,,2,1
15,33,,2,,2,1
16,34,,2,,2,1
17,36,,2,,2,1
17,36,,2,,2,1
17,36,,2,,2,1
17,36,,2,,2,1
18,36,,2,,2,1
18,36,,2,,2,1
18,36,,2,,2,1
18,36,,2,,2,1
18,36,,1,,2,1
18,37,,1,,2,1
