PM10,PM2.5,SO2,CO,O3,NO2
18,37,,1,,2
18,37,,1,,2
18,38,,1,,2
19,38,,1,,2
19,39,,1,,2
19,39,,1,,2
19,39,,1,,2
19,38,,1,,2
19,38,,2,,2
19,38,,1,,1
18,37,,1,,1
18,36,,1,,1
18,36,,1,,2
17,34,,1,,2
16,33,,1,,2
16,33,,1,,2
16,33,,1,,2
16,33,,1,,2
18,36,,1,,2
18,36,,1,,2
18,35,,1,,2
18,35,,1,,2
18,35,,1,,2
18,35,,1,,2
