PM10,PM2.5,SO2,CO,O3,NO2
18,38,,4,,3
18,38,,4,,3
18,37,,3,,3
17,37,,3,,3
17,36,,3,,3
17,35,,3,,3
16,35,,3,,3
16,34,,3,,3
16,33,,2,,2
15,32,,2,,3
15,32,,2,,3
14,31,,2,,2
15,33,,2,,2
16,34,,2,,2
17,36,,2,,2
17,36,,2,,2
17,36,,2,,2
17,36,,2,,2
18,36,,2,,2
18,36,,2,,2
18,36,,2,,2
18,36,,2,,2
18,36,,1,,2
18,37,,1,,2
