Location,Date & Time,SO2,NO,NO2,NOX,CO,O3,PM2.5,PM10,WS,WD,Temp,RH,BP,SR,Rain,VWS
BARC,, ppb , ppb , ppb , ppb , ppm , ppb , ug/m3 , ug/m3 , m/s , degre----- , degreC , % , HPa , W/m2 , m m ,
BARC,1/1/2024 1:00,,15.24,93.53,108.77,1.17,5.27,126.44,,1.43,95.1,13.39,98.11,1014.75,,,
BARC,1/1/2024 2:00,1.54,13.88,85.92,99.8,0.71,5.14,136.39,,1.2,83.79,12.56,88.25,1014.33,,,
BARC,1/1/2024 3:00,0.77,25.25,104.05,129.3,0.38,4.8,135.97,,0.9,78.13,11.93,94.33,1014.18,,,
BARC,1/1/2024 4:00,1.44,23.43,95.11,118.54,0.71,4.86,130.37,,1.22,61.73,11.24,94.39,1014,,,
BARC,1/1/2024 5:00,0.74,13.29,80.04,93.33,0.21,4.91,121.19,,1.18,66.78,10.75,98.25,1014.25,,,
BARC,1/1/2024 6:00,0.74,13.15,75.18,88.33,1.4,4.58,114.75,,0.65,73.45,11.15,92.18,1014.85,,,
BARC,1/1/2024 7:00,1.05,17.47,89.75,107.22,1.56,4.99,109.62,,0.81,73.34,11.01,95.03,1015.58,2.7,,
BARC,1/1/2024 8:00,0.93,28.03,102.45,130.48,1.57,4.6,124.02,,0.22,65.03,11.22,98.34,1016.13,65.8,,
BARC,1/1/2024 9:00,1.22,33.88,121.21,155.09,2.19,4.42,121.02,,0.44,56.5,12.58,91.78,1016.6,184.4,,
BARC,1/1/2024 10:00,1.08,41.93,157.6,199.53,2.23,4.82,114.9,,0.63,66.97,14.4,88.53,1016.98,304.1,,
BARC,1/1/2024 11:00,0.68,37.36,156.13,193.49,1.84,6.2,123.46,,1.56,66.14,15.83,99.52,1016.58,405.4,,
BARC,1/1/2024 12:00,3.57,18.37,124.55,142.92,1.68,8.28,132.14,,1.47,58.96,16.49,90.96,1015.58,243.3,,
BARC,1/1/2024 13:00,4.22,8.15,92.54,100.69,1.17,9.79,140.77,,2.18,68.68,17.55,94.54,1014.48,335.7,,
BARC,1/1/2024 14:00,3.23,5.23,60.52,65.75,0.99,9.67,153.53,,1.74,68.91,17.9,83.77,1013.55,318.5,,
BARC,1/1/2024 15:00,1.82,3.58,47.67,51.25,0.64,10.27,140.64,,1.01,68.56,18.98,75.46,1012.83,316.9,,
BARC,1/1/2024 16:00,2.2,2.1,44.77,46.87,1.15,10.01,125.23,,1.48,79.89,19.73,79.73,1012.6,193.8,,
BARC,1/1/2024 17:00,1.98,2.58,56.09,58.67,1.27,8.69,120.01,,1.6,73.78,18.55,86.37,1012.73,52.1,,
BARC,1/1/2024 18:00,1.11,2.3,81.08,83.38,1.54,6.35,116.19,,0.58,84.46,16.97,97.3,1013.03,0.6,,
BARC,1/1/2024 19:00,1.53,9.55,107.24,116.79,2.17,4.33,120.87,,1.03,88.2,16.02,97.61,1013.58,,,
BARC,1/1/2024 20:00,0.96,8.18,112.28,120.46,2.09,2.79,139.81,,0.91,87.12,15.25,97.27,1014.38,,,
BARC,1/1/2024 21:00,1.26,8.63,112.78,121.41,1.79,2.26,149.07,,0.64,70.63,15.07,97.77,1014.95,,,
BARC,1/1/2024 22:00,1.19,26.55,145.02,171.57,1.87,1.45,148.18,,0.4,85.53,14.69,99.84,1015.25,,,
BARC,1/1/2024 23:00,1.36,94.42,238.56,332.98,2.2,0.66,168.46,,0.05,102.42,13.83,97.62,1014.7,,,
BARC,1/2/2024 0:00,1.16,71.59,201.81,273.4,2,0.54,167.68,,0.41,101.11,11.69,90.37,976.23,,,
BARC,1/2/2024 1:00,1.23,36.49,153.92,190.41,1.32,0.44,156.13,,0.97,89.7,11.77,89.32,741.5,,,
BARC,1/2/2024 2:00,1.17,29.18,143.75,172.93,1.33,0.42,146.23,,1,80.61,11.78,92.77,741.5,,,
BARC,1/2/2024 3:00,0.88,21.6,125.24,146.84,1.31,0.51,126.97,,0.65,92.03,11.72,88.42,741.5,,,
BARC,1/2/2024 4:00,0.74,13.72,104.28,118,1.23,0.47,118.07,,0.92,61.27,11.38,87.46,741.5,,,
BARC,1/2/2024 5:00,0.9,15.1,98.01,113.11,1.49,0.5,125.79,,0.88,67.83,10.56,96.38,741.5,,,
BARC,1/2/2024 6:00,0.71,12.38,94.31,106.69,1.35,0.56,124.18,,0.87,82.36,10.41,96.71,741.5,,,
BARC,1/2/2024 7:00,1.08,24.41,105,129.41,1.4,0.54,120.17,,0.38,49.05,,91.71,741.5,2.6,,
BARC,1/2/2024 8:00,2,36.71,120.31,157.02,1.47,0.83,129.98,,0.75,61.4,10.6,95.96,741.5,69.4,,
BARC,1/2/2024 9:00,3.96,30.48,112.02,142.5,1.46,1.29,138.67,,1.13,58.94,10.08,88.35,741.53,176,,
BARC,1/2/2024 10:00,3.3,26.75,106.11,132.86,1.42,2.61,139.69,,1.26,75.3,11.56,92.03,741.6,306.3,,
BARC,1/2/2024 11:00,1.71,14.42,84.72,99.14,1.12,6.5,155.35,,0.82,88.73,12.91,93.06,741.6,424.8,,
BARC,1/2/2024 12:00,1.44,14.54,95.58,110.12,1.28,9.22,150.3,,0.57,148.04,14.51,86.42,741.6,230.5,,
BARC,1/2/2024 13:00,1.84,17.22,99.55,116.77,1.04,10.16,147.91,,0.45,110.68,17.52,73.78,741.6,343.8,,
BARC,1/2/2024 14:00,2.41,15.95,113.43,129.38,1.02,10.19,151.49,,1.53,76.12,17.94,72.32,741.6,296.2,,
BARC,1/2/2024 15:00,3.31,21.26,131.1,152.36,1.05,7.37,146.68,,1.48,95.12,17.29,76.89,741.6,259.4,,
BARC,1/2/2024 16:00,3.36,18.75,121.45,140.2,0.88,5.3,141.73,,1.3,117.43,16.86,82.32,741.6,170.2,,
BARC,1/2/2024 17:00,2.45,17.19,117.83,135.02,1.25,4.41,141.85,,0.84,115.97,16.25,87.35,741.6,56.2,,
BARC,1/2/2024 18:00,2.32,37.17,153.19,190.36,1.49,0.9,129.95,,0.58,104.69,14.3,93.45,741.6,,,
BARC,1/2/2024 19:00,1.3,32.39,160.44,192.83,1.63,0.62,135.2,,0.63,103.48,14.06,94.17,741.55,,,
BARC,1/2/2024 20:00,1.72,34.6,157.36,191.96,1.9,0.59,146.11,,0.6,97.74,13.41,89.91,741.5,,,
BARC,1/2/2024 21:00,2.11,70.71,194.21,264.92,1.98,0.57,144.58,,0.11,114.47,12.97,90.37,741.5,,,
BARC,1/2/2024 22:00,1.96,54.24,167.11,221.35,1.69,0.5,145.87,,0.9,108.63,12.25,86.67,741.5,,,
BARC,1/2/2024 23:00,1.26,35.17,138.96,174.13,1.42,0.46,150.93,,0.46,104.38,11.31,86.18,741.5,,,
BARC,1/3/2024 0:00,0.81,25.59,131.04,156.63,1.29,0.39,141.89,,0.53,128.5,10.9,94.34,741.5,,,
BARC,1/3/2024 1:00,0.31,19.55,117.99,137.54,0.86,0.93,134.89,,,,,,,0.5,,
BARC,1/3/2024 2:00,0.61,10.08,107.28,117.36,0.22,0.47,127.15,,,,,,,,,
BARC,1/3/2024 3:00,0.24,2.88,66.38,69.26,0.4,0.79,119.41,,,,,,,,,
BARC,1/3/2024 4:00,0.27,25.39,87.7,113.09,0.21,1.02,109.08,,,,,,,,,
BARC,1/3/2024 5:00,0.05,,206.85,206.85,0.59,0.72,112.8,,,,,,,,,
BARC,1/3/2024 6:00,0.41,,,,0.49,0.74,107.81,,,,,,,,,
BARC,1/3/2024 7:00,0.51,,11.16,11.16,0.4,0.63,101.1,,,,,,,,,
BARC,1/3/2024 8:00,0.86,,,,0.93,0.76,97.96,,,,,,,,,
BARC,1/3/2024 9:00,0.82,116.16,54.1,170.26,1.54,0.94,101.02,,,,,,,,,
BARC,1/3/2024 10:00,0.52,50.26,96.2,146.46,1.5,1.67,106.59,,,,,,,,,
BARC,1/3/2024 11:00,0.64,31.28,75.58,106.86,1.37,2.26,107.52,,,,,,,,,
BARC,1/3/2024 12:00,0.85,97.64,102.81,200.45,1.42,2.79,101.71,,,,,,,,,
BARC,1/3/2024 13:00,0.69,133.92,167.78,301.7,,4.39,93.79,,,,,,,,,
BARC,1/3/2024 14:00,,28.4,145.04,173.44,0.6,7.24,88.3,,,,,,,,,
BARC,1/3/2024 15:00,0.72,193.9,,193.9,0.6,6.6,94.73,,,,,,,,,
BARC,1/3/2024 16:00,1.42,29.32,18.06,47.38,0.6,4.33,89.33,,,,,,,,,
BARC,1/3/2024 17:00,1.08,92.3,5.79,98.09,0.6,1.82,79.26,,,,,,,,,
BARC,1/3/2024 18:00,1.04,205.06,127.28,332.34,1.96,0.68,90.06,,,,,,,,,
BARC,1/3/2024 19:00,0.94,82.87,209.39,292.26,2.42,0.54,87.7,,,,,,,,,
BARC,1/3/2024 20:00,0.95,141.22,,141.22,3.47,0.47,111.81,,,,,,,,,
BARC,1/3/2024 21:00,1.66,91.62,249.8,341.42,2.95,0.45,120.6,,,,,,,,,
BARC,1/3/2024 22:00,2.02,57.68,169.09,226.77,2.34,0.39,127.92,,,,,,,,,
BARC,1/3/2024 23:00,1.36,63.67,171.12,234.79,2.28,0.45,135.11,,,,,,,,,
BARC,1/4/2024 0:00,1.53,99.77,218.25,318.02,2.73,0.48,149.02,,,,,,,,,
BARC,1/4/2024 1:00,1,102.36,223.12,325.48,2.62,0.47,145.46,,,,,,,,,
BARC,1/4/2024 2:00,1.5,119.63,236.4,356.03,2.87,0.4,155.39,,,,,,,,,
BARC,1/4/2024 3:00,1.06,130.85,249.08,379.93,2.41,0.35,157.31,,,,,,,,,
BARC,1/4/2024 4:00,0.93,125.18,244.83,370.01,1.86,0.32,149.76,,,,,,,,,
BARC,1/4/2024 5:00,1.09,87.65,202.52,290.17,1.49,0.26,152.84,,,,,,,,,
BARC,1/4/2024 6:00,0.67,158.56,,158.56,1.81,0.43,145.97,,,,,,,,,
BARC,1/4/2024 7:00,0.63,171.73,,171.73,2.26,0.38,137.73,,,,,,,,,
BARC,1/4/2024 8:00,0.56,126.77,248.58,375.35,1.85,0.3,140.53,,,,,,,,,
BARC,1/4/2024 9:00,0.42,119.13,,119.13,2.06,0.37,136.07,,,,,,,,,
BARC,1/4/2024 10:00,1.42,91.85,,91.85,1.95,1.11,141.21,,,,,,,,,
BARC,1/4/2024 11:00,1.2,38.69,175.84,214.53,1.16,5.19,133.76,,,,,,,,,
BARC,1/4/2024 12:00,3.13,37.33,181.96,219.29,1.01,6.08,131.75,,,,,,,,,
BARC,1/4/2024 13:00,3.01,25.18,154.85,180.03,0.83,10.45,125.93,,,,,,,,,
BARC,1/4/2024 14:00,2.71,19.72,152.3,172.02,1.35,11.41,128.04,,,,,,,,,
BARC,1/4/2024 15:00,2.34,14.25,132.71,146.96,1.31,12.55,121.15,,,,,,,,,
BARC,1/4/2024 16:00,2.2,25.64,174.09,199.73,1.53,7.29,114.81,,,,,,,,,
BARC,1/4/2024 17:00,1.89,51.65,225.96,277.61,2.03,1.68,121.47,,,,,,,,,
BARC,1/4/2024 18:00,1.55,57.77,225.92,283.69,2.19,0.66,124,,,,,,,,,
BARC,1/4/2024 19:00,2.07,73.72,223.35,297.07,2.56,0.42,133.84,,,,,,,,,
BARC,1/4/2024 20:00,2.01,93.41,236.51,329.92,2.52,0.47,153.28,,,,,,,,,
BARC,1/4/2024 21:00,1.45,122.23,,122.23,2.77,0.49,173.77,,,,,,,,,
BARC,1/4/2024 22:00,1.56,177.69,,177.69,3.62,0.88,200.59,,,,,,,,,
BARC,1/4/2024 23:00,1.23,231.54,,231.54,3.64,0.6,265.82,,,,,,,,,
BARC,1/5/2024 0:00,2.43,171.64,,171.64,1.69,0.4,265.01,,,,,,,,,
BARC,1/5/2024 1:00,2.97,158.85,,158.85,1.75,0.41,239.1,,,,,,,,,
BARC,1/5/2024 2:00,2.12,164.42,,164.42,2.02,0.39,198.61,,,,,,,,,
BARC,1/5/2024 3:00,2.06,193.25,,193.25,1.64,0.4,185.13,,,,,,,,,
BARC,1/5/2024 4:00,1.57,239.82,,239.82,1.56,0.42,177.03,,,,,,,,,
BARC,1/5/2024 5:00,1.32,182.72,,182.72,1.71,0.37,178.95,,,,,,,,,
BARC,1/5/2024 6:00,1.48,209.43,,209.43,1.64,0.44,168.9,,,,,,,,,
BARC,1/5/2024 7:00,0.78,138.21,,138.21,1.61,0.38,155.93,,,,,,,,,
BARC,1/5/2024 8:00,0.71,147.28,,147.28,1.87,0.37,164.02,,,,,,,,,
BARC,1/5/2024 9:00,1.21,94.5,212.64,307.14,1.52,0.41,153.15,,,,,,,,,
BARC,1/5/2024 10:00,2.23,54.41,176.7,231.11,1.54,0.99,138.22,,,,,,,,,
BARC,1/5/2024 11:00,4.17,46.57,159.4,205.97,1.54,1.64,135.68,,,,,,,,,
BARC,1/5/2024 12:00,1.76,43.55,152.2,195.75,1.63,2.33,139.39,,,,,,,,,
BARC,1/5/2024 13:00,1.79,32.11,137.98,170.09,1.89,3.97,132.76,,,,,,,,,
BARC,1/5/2024 14:00,2.64,14.98,108.99,123.97,1.72,9.43,127.71,,,,,,,,,
BARC,1/5/2024 15:00,1.99,15.82,114.46,130.28,1.39,9.43,129.67,,,,,,,,,
BARC,1/5/2024 16:00,1.99,10.1,100.13,110.23,1.32,10.14,120.93,,,,,,,,,
BARC,1/5/2024 17:00,1.29,26.42,153.28,179.7,1.59,3.39,115.03,,,,,,,,,
BARC,1/5/2024 18:00,0.83,26.18,143.26,169.44,1.93,1.24,111.59,,,,,,,,,
BARC,1/5/2024 19:00,0.73,35.9,147.74,183.64,1.81,0.95,106.5,,,,,,,,,
BARC,1/5/2024 20:00,0.97,58.3,170.39,228.69,1.64,0.83,108.17,,,,,,,,,
BARC,1/5/2024 21:00,1.54,152.07,,152.07,2.49,0.9,107.88,,,,,,,,,
BARC,1/5/2024 22:00,1.24,175.01,,175.01,2.91,0.59,127.3,,,,,,,,,
BARC,1/5/2024 23:00,3.91,197.53,,197.53,3.31,0.53,142.33,,,,,,,,,
BARC,1/6/2024 0:00,14.53,214.13,,214.13,3.43,0.68,162.84,,,,,,,,,
BARC,1/6/2024 1:00,14.44,209.67,,209.67,2.82,0.62,195.34,,,,,,,,,
BARC,1/6/2024 2:00,20.64,182.56,,182.56,1.52,0.56,248.16,,,,,,,,,
BARC,1/6/2024 3:00,20.38,127.14,,127.14,,0.43,317.13,,,,,,,,,
BARC,1/6/2024 4:00,10.43,65.83,186.5,252.33,,0.29,339.23,,,,,,,,,
BARC,1/6/2024 5:00,5.53,42.62,153.05,195.67,,0.25,307.18,,,,,,,,,
BARC,1/6/2024 6:00,3.83,46.06,162,208.06,,0.28,239.02,,,,,,,,,
BARC,1/6/2024 7:00,3.99,45.59,166.76,212.35,,0.38,179.24,,,,,,,,,
BARC,1/6/2024 8:00,3.25,32.26,142.4,174.66,0.21,0.57,163.43,,,,,,,,,
BARC,1/6/2024 9:00,4.19,26.78,137.65,164.43,1,1.49,152.1,,,,,,,,,
BARC,1/6/2024 10:00,3,18.26,123.87,142.13,1.27,5.54,141.58,,,,,,,,,
BARC,1/6/2024 11:00,2.44,14.24,112.48,126.72,1.2,11.48,127.97,,,,,,,,,
BARC,1/6/2024 12:00,3.97,11.04,99.24,110.28,1.17,13.09,117.34,,,,,,,,,
BARC,1/6/2024 13:00,3.03,9.88,52.7,62.58,1.31,16.48,106.48,,,,,,,,,
BARC,1/6/2024 14:00,2.3,7.57,26.65,34.22,1.49,14.98,104.73,,,,,,,,,
BARC,1/6/2024 15:00,1.92,7.42,24.7,32.12,1.59,13.93,104.73,,,,,,,,,
BARC,1/6/2024 16:00,2.1,7.61,28.68,36.29,1,11.94,104.73,,,,,,,,,
BARC,1/6/2024 17:00,2.55,7.93,42.85,50.78,1.32,10.16,104.73,,,,,,,,,
BARC,1/6/2024 18:00,3.03,8.15,92.06,100.21,2.01,6.26,104.73,,,,,,,,,
BARC,1/6/2024 19:00,8.94,32.15,168.95,201.1,2.65,1.37,104.73,,,,,,,,,
BARC,1/6/2024 20:00,8.98,50.72,190.76,241.48,3.13,0.92,104.73,,,,,,,,,
BARC,1/6/2024 21:00,6.13,44.81,185.74,230.55,1.88,0.78,104.73,,,,,,,,,
BARC,1/6/2024 22:00,12.73,17.53,147.67,165.2,1.92,0.96,104.73,,,,,,,,,
BARC,1/6/2024 23:00,8.55,7.01,89.34,96.35,1.76,5.69,104.73,,,,,,,,,
BARC,1/7/2024 0:00,6.52,6.37,60.33,66.7,1.95,8.74,104.73,,,,,,,,,
BARC,1/7/2024 1:00,4.99,3.95,59.34,63.29,1.73,6.75,104.73,,,,,,,,,
BARC,1/7/2024 2:00,3.25,4.17,50.49,54.66,1.23,6.54,104.73,,,,,,,,,
BARC,1/7/2024 3:00,2.22,5.05,66.89,71.94,1.44,3.86,104.73,,,,,,,,,
BARC,1/7/2024 4:00,1.6,10.95,101.85,112.8,1.85,0.94,104.73,,,,,,,,,
BARC,1/7/2024 5:00,2.21,9.87,105.47,115.34,2.38,0.9,104.73,,,,,,,,,
BARC,1/7/2024 6:00,1.23,7.81,102.83,110.64,2.49,1.45,104.73,,,,,,,,,
BARC,1/7/2024 7:00,1.28,7.42,80.5,87.92,1.01,4.04,104.73,,,,,,,,,
BARC,1/7/2024 8:00,1.38,8.02,62.95,70.97,1.09,7.4,104.73,,,,,,,,,
BARC,1/7/2024 9:00,1.38,7.59,62.08,69.67,1.7,9.22,104.73,,,,,,,,,
BARC,1/7/2024 10:00,1.94,7.13,43.5,50.63,1.82,12.99,104.73,,,,,,,,,
BARC,1/7/2024 11:00,2.01,6.34,33.5,39.84,1.74,13.96,104.73,,,,,,,,,
BARC,1/7/2024 12:00,2.19,6.34,32.54,38.88,1.31,14.56,104.73,,,,,,,,,
BARC,1/7/2024 13:00,2.3,3.47,26.45,29.92,1.43,13.23,104.73,,,,,,,,,
BARC,1/7/2024 14:00,1.37,2.2,19.22,21.42,1.44,11.27,104.73,,,,,,,,,
BARC,1/7/2024 15:00,1.59,3.65,27.11,30.76,1.52,11.37,104.73,,,,,,,,,
BARC,1/7/2024 16:00,2.17,2.49,23.93,26.42,1.8,10.75,104.73,,,,,,,,,
BARC,1/7/2024 17:00,1.25,1.92,28.37,30.29,1.3,9.84,104.73,,,,,,,,,
BARC,1/7/2024 18:00,1.46,3.38,46.91,50.29,1.53,8.8,104.73,,,,,,,,,
BARC,1/7/2024 19:00,3.58,3.9,72.85,76.75,2.04,5.54,104.73,,,,,,,,,
BARC,1/7/2024 20:00,4.69,4.55,78.86,83.41,2.77,4.69,104.73,,,,,,,,,
BARC,1/7/2024 21:00,6.8,6.14,97.66,103.8,,3.33,104.73,,,,,,,,,
BARC,1/7/2024 22:00,6.16,5.94,94.08,100.02,1.62,3.68,104.73,,,,,,,,,
BARC,1/7/2024 23:00,7.83,5.15,81.51,86.66,1.6,4.14,104.73,,,,,,,,,
BARC,1/8/2024 0:00,3.64,4.93,64.51,69.44,1.52,5.94,104.73,,,,,,,,,
BARC,1/8/2024 1:00,2.57,6,43.33,49.33,2.06,6.7,104.73,,,,,,,,,
BARC,1/8/2024 2:00,1.99,4.7,36.86,41.56,2.08,5.83,104.73,,,,,,,,,
BARC,1/8/2024 3:00,,4.43,37.01,41.44,1.4,4.87,104.73,,,,,,,,,
BARC,1/8/2024 4:00,1.28,5.28,39.5,44.78,1.54,4.12,104.73,,,,,,,,,
BARC,1/8/2024 5:00,1.31,4.88,39.17,44.05,1.79,3.8,104.73,,,,,,,,,
BARC,1/8/2024 6:00,1.17,5.92,40.38,46.3,2.22,3.8,104.73,,,,,,,,,
BARC,1/8/2024 7:00,0.85,5.14,44.85,49.99,2.25,3.6,104.73,,,,,,,,,
BARC,1/8/2024 8:00,1.04,11.41,67.61,79.02,1.25,2.49,104.73,,,,,,,,,
BARC,1/8/2024 9:00,0.95,19.23,85.21,104.44,1.69,2.61,104.73,,,,,,,,,
BARC,1/8/2024 10:00,0.98,19.4,87.35,106.75,2.13,3.97,104.73,,,,,,,,,
BARC,1/8/2024 11:00,1.38,14.71,68.71,83.42,2.28,6.15,104.73,,1.02,82.59,15.68,100,741.6,398.2,,
BARC,1/8/2024 12:00,1.85,11.33,62.94,74.27,2.23,8.2,104.73,,1.14,82.68,17.48,96.07,741.6,298.6,,
BARC,1/8/2024 13:00,1.87,8.4,68.96,77.36,1.45,9.37,104.73,,1.74,71.83,18.98,82.61,741.6,358,,
BARC,1/8/2024 14:00,3.58,4.16,41.86,46.02,1.31,11.65,104.73,,1.58,72.09,19.72,71.32,741.6,325,,
BARC,1/8/2024 15:00,2.68,2.72,27.48,30.2,1.31,11.36,104.73,,1.55,82.91,20.49,61.61,741.6,299.8,,
BARC,1/8/2024 16:00,1.73,3.87,32.4,36.27,1.43,10.31,104.73,,1.93,72.16,20.23,58.25,741.6,199.9,,
BARC,1/8/2024 17:00,1.84,3.12,43.22,46.34,1.5,9.16,104.73,,1.65,87.35,19.21,65.92,741.6,59.1,,
BARC,1/8/2024 18:00,2.1,3.72,81.49,85.21,1.68,6.71,104.73,,1.11,85.18,17.87,76.51,741.6,1.6,,
BARC,1/8/2024 19:00,1.62,6.06,88.49,94.55,2.24,5.25,104.73,,1.25,83.22,16.88,82.72,741.6,,,
BARC,1/8/2024 20:00,3.83,6.82,95.84,102.66,2.41,3.49,104.73,,1.24,82.36,15.93,94.95,741.6,,,
BARC,1/8/2024 21:00,3.79,7.11,69.22,76.33,2.8,5.48,104.73,,1.72,84.28,15.03,100,741.6,,,
BARC,1/8/2024 22:00,2.26,5.1,56.16,61.26,2.75,5.57,104.73,,2.05,84.78,14.47,100,741.6,,,
BARC,1/8/2024 23:00,2.23,4.91,50.58,55.49,1.37,4.94,104.73,,1.77,78.81,13.99,100,741.6,,,
BARC,1/9/2024 0:00,1.82,5.92,52.49,58.41,,4.35,104.73,,1.65,73.39,13.58,100,741.5,,,
BARC,1/9/2024 1:00,1.87,6.62,53.08,59.7,,3.62,104.73,,1.11,84.28,13.36,100,741.5,,,
BARC,1/9/2024 2:00,1.75,8.32,67.02,75.34,,2.91,104.73,,1.38,98.83,13.12,100,741.5,,,
BARC,1/9/2024 3:00,1.38,7.35,75.63,82.98,,2.69,104.73,,1.33,95.74,12.78,100,741.5,,,
BARC,1/9/2024 4:00,1.24,7.08,78.6,85.68,,,104.73,,,,,,,,,
BARC,1/9/2024 5:00,,2.82,44.92,47.74,,,104.73,,,,,,,,,
BARC,1/9/2024 6:00,0.62,5.58,33.37,38.95,,5.41,104.73,,,,,,,,,
BARC,1/9/2024 7:00,0.27,4.61,37.34,41.95,,5.12,104.73,,,,,,,,,
BARC,1/9/2024 8:00,0.4,9.25,68.15,77.4,,3.28,104.73,,,,,,,,,
BARC,1/9/2024 9:00,0.88,18.66,100.8,119.46,1.47,2.61,104.73,,,,,,,,,
BARC,1/9/2024 10:00,0.71,18.5,94.78,113.28,1.93,3.67,104.73,,,,,,,,,
BARC,1/9/2024 11:00,0.41,18.4,95.18,113.58,2.03,5.05,104.73,,,,,,,,,
BARC,1/9/2024 12:00,0.65,11.8,72.42,84.22,2.12,6.76,26.18,,2.06,80.8,,,,335.1,,
BARC,1/9/2024 13:00,0.61,8.66,63.57,72.23,2.23,8.34,46.82,65.87,2.3,73.22,16.57,98.2,1015.13,365.7,,
BARC,1/9/2024 14:00,1.24,6.37,52.93,59.3,1.47,9.56,86.24,121.32,1.8,74.21,17.34,92.29,1014.23,324.5,,
BARC,1/9/2024 15:00,1.33,6.35,47.88,54.23,1.75,9.77,109.22,153.63999999999999,1.38,84.18,17.99,84.26,1013.63,312.3,,
BARC,1/9/2024 16:00,1,4.87,43.41,48.28,1.85,9.87,124.49,175.13,2.02,76.59,18.1,80.99,1013.58,192.4,,
BARC,1/9/2024 17:00,1.84,5.37,55.6,60.97,2.59,8.97,112.68,158.52000000000001,0.41,66.96,17.49,80.57,1013.73,63,,
BARC,1/9/2024 18:00,3.76,5.78,95.75,101.53,3.15,6.49,112.15,157.77000000000001,0.05,0.31,16.5,88.89,1014.03,2.6,,
BARC,1/9/2024 19:00,5.08,6.49,114.03,120.52,2.02,5.31,144.28,202.96,0.05,0.31,15.74,98.41,1014.63,,,
BARC,1/9/2024 20:00,5.08,20.61,156.03,176.64,2.77,4.71,151.24,212.76,0.05,0.3,15.3,100,1015.03,,,
BARC,1/9/2024 21:00,5.32,29.91,172.29,202.2,3,4.08,153.13,215.42,0.05,0.3,14.96,100,1015.18,,,
BARC,1/9/2024 22:00,5.13,13.29,135.25,148.54,3.19,4.71,161.5,227.19,0.05,0.3,14.28,100,1015.33,,,
BARC,1/9/2024 23:00,2.42,9.71,125.54,135.25,2.47,5.08,159.09,223.8,0.05,0.3,13.74,100,1015.25,,,
BARC,1/10/2024 0:00,1.87,14.44,128.82,143.26,1.66,4.58,149.97,210.97,0.05,0.3,13.21,100,1015.1,,,
BARC,1/10/2024 1:00,0.84,26.7,142.34,169.04,2.17,4.33,151.08,212.53,0.05,0.3,12.91,100,1014.83,,,
BARC,1/10/2024 2:00,0.7,38.75,161.51,200.26,1.2,4.05,151.41,212.99,0.05,0.3,12.32,100,1014.88,,,
BARC,1/10/2024 3:00,1,36.68,155.77,192.45,,4.52,145.73,205,0.05,0.3,11.73,100,1014.55,,,
BARC,1/10/2024 4:00,0.61,23.43,132.58,156.01,,4.95,141.08,198.47,0.05,0.3,11.62,100,1014.33,,,
BARC,1/10/2024 5:00,1.17,32.87,134.61,167.48,1.79,5.01,141.24,198.68,0.05,0.3,11.42,100,1014.25,,,
BARC,1/10/2024 6:00,0.94,52.81,163.94,216.75,2.49,5.65,137.88,193.96,0.05,0.3,11,100,1014.4,,,
BARC,1/10/2024 7:00,2.18,54.44,166.58,221.02,2.61,5.46,148.62,209.07,0.05,0.29,10.5,100,1014.9,1.9,,
BARC,1/10/2024 8:00,1.07,67.44,193.6,261.04,3.35,5.93,163.04,229.36,0.05,0.29,,100,1015.88,30.4,,
BARC,1/10/2024 9:00,0.5,42.07,171.88,213.95,3.37,6.04,157.84,222.04,0.05,0.3,10.55,100,1016.38,147.2,,
BARC,1/10/2024 10:00,1.02,20.5,111.62,132.12,1.65,8.01,156.69,220.43,0.05,0.3,11.39,100,1016.65,230.3,,
BARC,1/10/2024 11:00,0.35,23.01,112.21,135.22,,7.33,142.67,200.69,0.05,0.31,11.82,100,1016.35,229.1,,
BARC,1/10/2024 12:00,0.72,22.62,109.92,132.54,,7.61,130.75,183.93,0.05,0.31,13.66,100,1015.43,313.3,,
BARC,1/10/2024 13:00,0.73,13.24,91.89,105.13,0.7,8.99,139.08,195.65,0.05,0.33,16,94.2,1013.93,359.1,,
BARC,1/10/2024 14:00,0.59,9.27,76.51,85.78,,10.33,143.29,201.57,0.05,0.33,17.16,83.13,1012.9,305.2,,
BARC,1/10/2024 15:00,2.34,12.15,94.05,106.2,,8.53,134.65,189.42,0.05,0.33,18.13,69.55,1012.23,303.1,,
BARC,1/10/2024 16:00,3.98,9.96,98.83,108.79,,8.78,131.22,184.59,0.05,0.32,18.18,67.48,1011.78,176.9,,
BARC,1/10/2024 17:00,4.28,7.85,94.51,102.36,0.41,8.76,127.26,179.02,0.05,0.31,17.21,73.26,1011.88,59.5,,
BARC,1/10/2024 18:00,4.46,6.56,113.24,119.8,2.08,7.21,127.94,179.99,0.05,0.31,16.05,82.31,1012.35,2.5,,
BARC,1/10/2024 19:00,5.73,27.88,171.37,199.25,3.36,4.34,136.69,192.29,0.05,0.3,15.58,89.43,1013,,,
BARC,1/10/2024 20:00,4.21,65.23,224.16,289.39,3.04,3.37,148.47,208.86,0.05,0.3,15.38,92.23,1013.83,,,
BARC,1/10/2024 21:00,2.12,104.95,,104.95,1.45,3.42,156.05,219.52,0.05,0.3,14.99,99.65,1014.15,,,
