p,pm,status_type
515.31,178.41,PM
473.83,204.03,PM
462.5,278.17,PM
220.83,255,PM
271.03,217.7,PM
263.36,205.36,PM
416.27,290.69,PM
312.39,245.63,PM
276.26,214.04,PM
292.34,214.24,PM
316.72,254.9,PM
322.05,204.31,PM
277.08,204.76,PM
323.88,221.97,PM
265.63,169.15,PM
221.49,161.82,PM
182.53,115.88,PM
199.42,139.79,PM
187.14,121.92,PM
174.87,122.33,PM
181.81,128.02,PM
234.81,171.79,PM
231.51,181.67,PM
245.2,178.18,PM
333.56,203.05,PM
276.5,197.83,PM
342.65,245.73,PM
296.38,224,PM
237.17,167.09,PM
216.19,125.55,PM
242.44,164.65,PM
197.56,119.84,PM
222.8,130.31,PM
132.92,76.68,PM
152.53,114.41,PM
175.19,127.23,PM
187.78,133.07,PM
201.88,128.23,PM
196.72,125.24,PM
208.37,169.8,PM
353.63,228.31,PM
262.7,156.97,PM
211.45,123.9,PM
41.62,77.41,PM
54.98,93.16,PM
36.05,80.11,PM
32.16,84.13,PM
30.68,88.66,PM
101.84,106.93,PM
201.59,148.79,PM
157.07,74.04,PM
133.99,89.51,PM
